key,value,date
TX,410,1/1/22
TX,420,1/1/23
TX,430,1/1/24
TX,440,1/1/25
UT,29,1/1/15
UT,30,1/1/16
UT,30,1/1/17
UT,30.67,1/1/18
UT,31.17,1/1/19
UT,31.67,1/1/20
UT,32.17,1/1/21
UT,32.67,1/1/22
UT,33.17,1/1/23
UT,33.67,1/1/24
UT,34.17,1/1/25
VT,12,1/1/15
VT,12,1/1/16
VT,12,1/1/17
VT,12,1/1/18
VT,12,1/1/19
VT,12,1/1/20
VT,12,1/1/21
VT,12,1/1/22
VT,12,1/1/23
VT,12,1/1/24
VT,12,1/1/25
VA,130,1/1/15
VA,140,1/1/16
VA,140,1/1/17
VA,146.7,1/1/18
VA,151.7,1/1/19
VA,156.7,1/1/20
VA,161.7,1/1/21
VA,166.7,1/1/22
VA,171.7,1/1/23
VA,176.7,1/1/24
VA,181.7,1/1/25
WA,100,1/1/15
WA,100,1/1/16
WA,110,1/1/17
WA,113.33,1/1/18
WA,118.33,1/1/19
WA,123.33,1/1/20
WA,128.33,1/1/21
WA,133.33,1/1/22
WA,138.33,1/1/23
WA,143.33,1/1/24
WA,148.33,1/1/25
WV,36,1/1/15
WV,37,1/1/16
WV,37,1/1/17
WV,37.67,1/1/18
WV,38.17,1/1/19
WV,38.67,1/1/20
WV,39.17,1/1/21
WV,39.67,1/1/22
WV,40.17,1/1/23
WV,40.67,1/1/24
WV,41.17,1/1/25
WI,110,1/1/15
WI,110,1/1/16
WI,110,1/1/17
WI,110,1/1/18
WI,110,1/1/19
WI,110,1/1/20
WI,110,1/1/21
WI,110,1/1/22
WI,110,1/1/23
WI,110,1/1/24
WI,110,1/1/25
WY,8.8,1/1/15
WY,9.1,1/1/16
WY,9.4,1/1/17
WY,9.7,1/1/18
WY,10,1/1/19
WY,10.3,1/1/20
WY,10.6,1/1/21
WY,10.9,1/1/22
WY,11.2,1/1/23
WY,11.5,1/1/24
WY,11.8,1/1/25
